UserID,UserName,Age,Gender,Email,TotalCourses,TotalSpending,AverageSpending,AverageCourseRating,PreferredCategory,PreferredLevel,DiversityScore,EnrollmentFrequency,LearningDepthIndex,Cluster
U00001,wilsonjordan,15,1,patricia27@hotmail.com,1,394.26,394.26,1.35,2,2,1,1,0.0,2
U00002,angela22,29,0,hallrandy@hotmail.com,1,0.0,0.0,2.88,9,1,1,1,0.0,0
U00003,morrisonamanda,33,0,ganderson@yahoo.com,11,613.98,55.81636363636364,2.889090909090909,8,0,7,11,0.8,3
U00004,fthornton,23,0,christensencatherine@outlook.com,13,982.05,75.54230769230769,3.451538461538461,5,2,8,13,0.6,3
U00005,fostergeoffrey,21,1,karenfuentes@yahoo.com,2,346.71,173.355,2.055,9,0,2,2,0.5,1
U00006,jacksonjose,21,1,wilsonnatalie@outlook.com,1,0.78,0.78,3.89,7,0,1,1,1.0,1
U00007,grodriguez,24,1,lopezjoseph@gmail.com,1,0.0,0.0,1.91,2,2,1,1,0.0,0
U00008,adkinsapril,33,0,sanfordtaylor@gmail.com,1,0.0,0.0,4.1,6,2,1,1,0.0,0
U00009,heathercallahan,20,0,chelseastephenson@outlook.com,1,276.37,276.37,2.72,4,0,1,1,1.0,1
U00010,qlam,34,0,brian31@outlook.com,2,326.02,163.01,3.165,0,1,2,2,0.0,2
U00011,ashley16,15,0,guzmanantonio@outlook.com,2,299.57,149.785,3.205,3,0,2,2,0.5,1
U00012,mirandatimothy,15,0,paula93@outlook.com,2,327.99,163.995,1.515,4,0,2,2,0.5,1
U00013,cherrykathleen,33,0,michelewatkins@outlook.com,14,1432.33,102.3092857142857,2.869285714285714,7,0,8,14,0.8333333333333334,3
U00014,huertatimothy,30,1,gabrielanderson@yahoo.com,1,0.0,0.0,1.81,7,0,1,1,1.0,1
U00015,tbaker,27,0,kelly33@yahoo.com,14,2035.06,145.36142857142858,2.7607142857142857,0,1,10,14,0.375,3
U00016,josephmullins,32,1,amysparks@outlook.com,1,0.0,0.0,4.79,8,0,1,1,1.0,1
U00017,theresa55,24,1,pachecojeremy@gmail.com,3,963.18,321.06,4.65,0,1,3,3,0.0,2
U00018,nicole97,24,0,aprilharrell@hotmail.com,16,1468.03,91.751875,3.108125,0,1,9,16,0.5,3
U00019,rlawson,24,0,kingjulia@gmail.com,1,0.0,0.0,4.51,4,1,1,1,0.0,0
U00020,evansmichael,27,0,eharris@hotmail.com,1,0.0,0.0,2.88,9,1,1,1,0.0,0
U00021,autumn63,15,1,julieestrada@hotmail.com,2,177.34,88.67,3.135,2,0,2,2,2.0,1
U00022,patriciaadkins,31,1,thomas63@hotmail.com,1,0.0,0.0,4.68,10,1,1,1,0.0,0
U00023,micheal78,32,1,ashleymorris@yahoo.com,1,0.0,0.0,4.51,4,1,1,1,0.0,0
U00024,steven43,18,0,petersonlori@yahoo.com,1,0.0,0.0,3.93,2,2,1,1,0.0,0
U00025,georgewhite,34,1,jamesbradshaw@hotmail.com,4,119.04,29.76,2.605,6,0,4,4,1.0,1
U00026,andrew02,19,1,jason57@yahoo.com,1,327.99,327.99,1.51,10,1,1,1,0.0,2
U00027,hunter32,31,1,ronaldthomas@yahoo.com,2,0.0,0.0,2.915,2,0,2,2,1.0,1
